id,produto,affiliation,index,item_brand,item_category,item_list_name,preco,moeda,data_extracao
412252,Aerofólio - TG Poli - Uno 2010 até 2021 - de plástico - sem LED - preto - cada (unidade) - 04.235,Internet,1,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,229.5,BRL,2025-10-13 10:28:42.498218
27074,Aerofólio - TG Poli - Astra hatch 1999 até 2002 - preto para pintar - cada (unidade) - 03.177,Internet,2,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,843.3,BRL,2025-10-13 10:28:42.498218
411227,Aerofólio - TG Poli - Uno 1985 até 2010 - preto para pintar - sem LED - traseiro - cada (unidade) - 04.171,Internet,3,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,204.12,BRL,2025-10-13 10:28:42.498218
26474,Aerofólio - TG Poli - Celta 2001 até 2005 - preto fosco - sem LED - traseiro - cada (unidade) - 03.276,Internet,4,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,240.3,BRL,2025-10-13 10:28:42.498218
152536,Aerofólio - TG Poli - Gol 1995 até 2010 2 e 4 portas - preto para pintar - com 30 leds - cada (unidade) - 02.268,Internet,5,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,365.4,BRL,2025-10-13 10:28:42.498218
422149,Aerofólio - TG Poli - Palio 2001 até 2007 - preto para pintar - sem LED - cada (unidade) - 04.165,Internet,6,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,287.1,BRL,2025-10-13 10:28:42.498218
422148,Aerofólio - TG Poli - Palio 2004 até 2007 - Fire/Economy 2007 até 2017 - preto para pintar - sem LED - cada (unidade) - 04.155,Internet,7,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,287.1,BRL,2025-10-13 10:28:42.498218
192187,Aerofólio - TG Poli - Fox 2004 até 2009 - preto para pintar - cada (unidade) - 02.235,Internet,8,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,270.0,BRL,2025-10-13 10:28:42.498218
9867,Aerofólio - TG Poli - Golf 1999 até 2013 - de plástico - sem LED - preto - cada (unidade) - 02.301,Internet,9,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,243.9,BRL,2025-10-13 10:28:42.498218
17948,Aerofólio - TG Poli - Parati 1996 até 2013 - de plástico - sem LED - preto - cada (unidade) - 02.302,Internet,10,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,243.9,BRL,2025-10-13 10:28:42.498218
423329,Aerofólio - TG Poli - Palio 2012 até 2017 - sem léd - preto - traseiro - cada (unidade) - 04.232,Internet,11,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,270.9,BRL,2025-10-13 10:28:42.498218
352693,Aerofólio - TG Poli - EcoSport 2003 até 2012 - de plástico - sem LED - preto - cada (unidade) - 01.143,Internet,12,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,243.9,BRL,2025-10-13 10:28:42.498218
26475,Aerofólio - TG Poli - Celta 2006 até 2016 - preto para pintar - sem LED - traseiro - cada (unidade) - 03.281,Internet,13,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,270.9,BRL,2025-10-13 10:28:42.498218
152538,Aerofólio - TG Poli - Gol 2000 até 2014 - preto para pintar (modelo de plástico) - cada (unidade) - 02.267,Internet,14,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,220.14,BRL,2025-10-13 10:28:42.498218
244755,Aerofólio - TG Poli - Onix 2012 até 2019 - Joy 2020 até 2022 - de plástico - sem LED - preto - traseiro - cada (unidade) - 03.367,Internet,15,TG Poli,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,213.3,BRL,2025-10-13 10:28:42.498218
16113,Aerofólio - alternativo - Voyage 1981 até 1995 - Velocity - fixado com fita adesiva - para pintar - cada (unidade),Internet,16,,Aerofólio,Aerofólio - Acabamentos externos para veículos - página 1,225.0,BRL,2025-10-13 10:28:42.498218
